torso_angle,shoulder_angle,head_tilt_angle,left_shoulder_vis,right_shoulder_vis,left_hip_vis,right_hip_vis,left_ear_vis,right_ear_vis,label
-2.991249930310515,-175.7797793335397,-178.25244779293521,0.9970245361328125,0.9996365308761597,0.001190104172565043,0.0019285340094938874,0.9985789656639099,0.9996729493141174,0
-2.7175793955532623,-174.91327113147997,-177.09112461504134,0.9956549406051636,0.9994903206825256,0.0011543547734618187,0.0018534202827140689,0.9985615611076355,0.9996059536933899,0
-4.315538701036116,-173.19487349323146,-174.34148952121953,0.9960384964942932,0.9995061159133911,0.0012212444562464952,0.0019114348106086254,0.9989663362503052,0.9996858835220337,0
-3.238181146129661,-175.5406306898175,-176.02625407156756,0.9975985884666443,0.9995582699775696,0.0012328210286796093,0.0018236362375319004,0.9993641972541809,0.9997597932815552,0
-1.6639384736417155,-177.07512487368766,179.9710272042868,0.9976688623428345,0.9994544386863708,0.0012061040615662932,0.0017624514875933528,0.9993193745613098,0.9996918439865112,0
-0.05186441536875772,-177.79373271392248,178.97958198014763,0.9949676990509033,0.9990599155426025,0.0010242074495181441,0.0015242465306073427,0.9985944628715515,0.9994316697120667,0
-0.12633572243313232,-177.84171934000835,178.46773189100233,0.9927266836166382,0.9989241361618042,0.0013257487444207072,0.002094372408464551,0.9979113340377808,0.9991780519485474,0
0.2557296882608601,-177.79874064909362,178.17544776462088,0.9882426261901855,0.9986671805381775,0.0012633977457880974,0.001985841663554311,0.9967342019081116,0.9990442991256714,0
0.9830172668671949,-178.60232017737894,177.14923788396416,0.9833264946937561,0.998039722442627,0.0014535501832142472,0.002255750121548772,0.9956899285316467,0.9987980723381042,0
0.0463988857963147,-179.05753096190557,177.49313662312906,0.982947051525116,0.9979836344718933,0.0013959266943857074,0.002171108964830637,0.9955915212631226,0.9987459182739258,0
0.4341849900382135,-178.93196321012485,178.92372640364331,0.9849560856819153,0.9982142448425293,0.0015984871424734592,0.0024546110071241856,0.9959800839424133,0.9988352656364441,0
0.48760109256135153,-179.63182037689285,176.78024308563255,0.9883058667182922,0.9984872341156006,0.0012292856117710471,0.0018838762771338224,0.997198760509491,0.9990995526313782,0
5.450276668815644,169.73587524701827,174.28794156045376,0.9949652552604675,0.9989560842514038,0.0009790362091735005,0.0012759031960740685,0.9986277222633362,0.9993571639060974,0
8.8670746588459,163.11924365803333,159.75413073777776,0.9977844953536987,0.9988839030265808,0.0010275111999362707,0.0010749329812824726,0.9993715882301331,0.9995618462562561,0
7.159976560122375,163.14442070313694,163.07675516477346,0.9989115595817566,0.9989560842514038,0.0010456875897943974,0.0010316495317965746,0.9996619820594788,0.9996006488800049,0
3.0893578029180655,168.85412033757657,171.88102063688555,0.9994253516197205,0.9993242621421814,0.001305950921960175,0.0011999806156381965,0.9998229742050171,0.9997691512107849,0
1.1968164636401188,176.9313308279191,-179.7888958456162,0.9993062615394592,0.9990795254707336,0.0015060579171404243,0.0013842228800058365,0.999740481376648,0.9996351003646851,0
-1.7584081043983888,-179.93578808135868,-179.77387641792836,0.999398410320282,0.9991934299468994,0.002422928810119629,0.002146010287106037,0.9998140931129456,0.9997567534446716,0
-3.740054584645158,-177.80060407736693,179.9234759146677,0.9996241927146912,0.9994760751724243,0.0026156760286539793,0.0024710404686629772,0.9998555779457092,0.9998149871826172,0
-4.314799747114339,-176.21146127096335,-177.15689181498516,0.9998216032981873,0.9997544288635254,0.0061701759696006775,0.0062937550246715546,0.9999126195907593,0.9998915195465088,0
-4.409362434503369,-178.31980455311304,-174.33400534275714,0.9998727440834045,0.9996277689933777,0.26731571555137634,0.25303584337234497,0.9998213052749634,0.9996091723442078,0
-0.9086137046147371,179.6764584529052,-177.1996126173166,0.9998756051063538,0.9997844696044922,0.11665455251932144,0.11075448244810104,0.9998857975006104,0.9998073577880859,0
-4.423644134619587,-175.840130321798,179.35229801936188,0.9997000098228455,0.9996055364608765,0.05866605415940285,0.055831462144851685,0.9997612833976746,0.999742865562439,0
-3.485985738135708,-177.93180675925262,-178.09806794729053,0.9998219013214111,0.9997416734695435,0.08867452293634415,0.08053120225667953,0.9997023940086365,0.9996920824050903,0
-3.6110198335168904,-176.7493956866825,-175.80405462828003,0.999901294708252,0.9995036125183105,0.5755230784416199,0.560319185256958,0.9998174905776978,0.9996585249900818,0
-3.377100861156236,-177.2778061091018,-174.55902988720118,0.9999384880065918,0.9995180368423462,0.7960193157196045,0.7872698307037354,0.999904215335846,0.9998105764389038,0
-3.6644326971867276,-176.867543688632,-173.15247913355083,0.9999467730522156,0.9995035529136658,0.9114465713500977,0.9058665633201599,0.9999318718910217,0.9998592138290405,0
-3.9458239166022757,-176.8875656780937,-172.8648545084944,0.9999445080757141,0.9995760917663574,0.9600790739059448,0.9558027386665344,0.9999481439590454,0.9999077916145325,0
-3.316431822364889,-177.28275003459964,-175.69880122733696,0.9999446272850037,0.9996808767318726,0.982261598110199,0.978855311870575,0.9999439716339111,0.9999179840087891,0
0.004749180118131173,-179.62398932914004,-175.75254068578562,0.9999629855155945,0.9998268485069275,0.985509991645813,0.9833797812461853,0.9999600648880005,0.9999563694000244,0
-0.8628822067388506,-178.86855592312676,-176.9709319175875,0.999963641166687,0.9998979568481445,0.9871735572814941,0.9861385822296143,0.9999625086784363,0.999970018863678,0
-3.2443276449962335,-177.22817575822953,-176.80106294836213,0.9999691247940063,0.9999122619628906,0.9860407710075378,0.9844531416893005,0.9999676942825317,0.9999727010726929,0
7.872068523181064,169.2133421257535,176.96568464585638,0.9999670386314392,0.9997527599334717,0.9869998097419739,0.9797750115394592,0.9999616742134094,0.9999366402626038,0
19.88304167615195,155.78410204980875,157.37285872789536,0.9999775886535645,0.9996488094329834,0.9743989109992981,0.9689309000968933,0.9999679923057556,0.9999290108680725,0
28.576162735595336,152.50087638184226,158.42168000369995,0.999979555606842,0.9997801780700684,0.9885581731796265,0.9858160614967346,0.9999821782112122,0.9999650716781616,0
29.798087840569607,152.32512626394748,158.3733192514108,0.9999856352806091,0.9998741745948792,0.9953086972236633,0.9941508769989014,0.9999921321868896,0.9999860525131226,0
30.918404273587544,152.99977939125188,160.11620401667236,0.9999703168869019,0.9998757243156433,0.9977949261665344,0.997256338596344,0.9999939799308777,0.9999929070472717,0
30.759137898740192,155.9681455760799,157.33267993719736,0.999972939491272,0.9999077320098877,0.9988593459129333,0.9985674023628235,0.9999959468841553,0.9999961853027344,0
30.06382708735581,152.6308217627903,159.36526162057973,0.9999596476554871,0.9998897910118103,0.9991772770881653,0.998946487903595,0.9999948740005493,0.9999964833259583,0
31.034815407089425,154.2143699550642,159.8005925751541,0.9999352693557739,0.9998615384101868,0.9993643760681152,0.9992778301239014,0.999995768070221,0.9999977946281433,0
31.05282374353814,156.07326860124616,159.18104379773243,0.9999408721923828,0.9998717308044434,0.9995077252388,0.9994722008705139,0.9999972581863403,0.9999986290931702,0
31.302370002506645,150.95973225623644,154.15874612510837,0.9999358654022217,0.9998919367790222,0.9995648264884949,0.9995593428611755,0.9999968409538269,0.9999988079071045,0
33.25193747344395,152.8405051056114,157.43024803887732,0.9999189972877502,0.999901533126831,0.9993879199028015,0.999504029750824,0.9999968409538269,0.9999988675117493,0
